grain_type,grain_key,grade,section,teacher_name,teacher_number,course_name,student_count,metric_domain,metric_name,metric_category,value,ap_manager_name,ap_manager_id
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Behavior,# Incidents,Disruption,17.0,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Behavior,# Incidents,Conflict,13.0,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,Behavior,# Incidents,Phone,7.0,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Behavior,# Incidents,Defiance,4.0,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Behavior,# Incidents,Disruption,6.0,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Behavior,# Incidents,Conflict,10.0,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,Behavior,# Incidents,Phone,3.0,Awesome AP 1,AP_12EEC59A
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Behavior,# Incidents,Defiance,17.0,Awesome AP 2,AP_987F9BF3
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Behavior,# Incidents,Disruption,3.0,Awesome AP 2,AP_987F9BF3
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Behavior,# Incidents,Conflict,12.0,Awesome AP 2,AP_987F9BF3
homeroom,5TCNJ,5.0,5TCNJ,"Davenport, James",TCH_4F19DB35,HR,26.0,Behavior,# Incidents,Phone,2.0,Awesome AP 2,AP_987F9BF3
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Behavior,# Incidents,Defiance,2.0,Awesome AP 1,AP_12EEC59A
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Behavior,# Incidents,Disruption,1.0,Awesome AP 1,AP_12EEC59A
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Behavior,# Incidents,Conflict,7.0,Awesome AP 1,AP_12EEC59A
homeroom,5WillyP,5.0,5WillyP,"Singleton, Yolanda",TCH_785F4790,HR,30.0,Behavior,# Incidents,Phone,9.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Behavior,# Incidents,Defiance,11.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Behavior,# Incidents,Disruption,5.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Behavior,# Incidents,Conflict,11.0,Awesome AP 1,AP_12EEC59A
homeroom,6Howard,6.0,6Howard,"Prentiss, Howard",TCH_64CDE3C3,HR,29.0,Behavior,# Incidents,Phone,11.0,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Behavior,# Incidents,Defiance,17.0,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Behavior,# Incidents,Disruption,7.0,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Behavior,# Incidents,Conflict,5.0,Awesome AP 1,AP_12EEC59A
homeroom,6Lincoln,6.0,6Lincoln,"Hastings, Derek",TCH_9B6C1DA4,HR,28.0,Behavior,# Incidents,Phone,14.0,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Behavior,# Incidents,Defiance,1.0,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Behavior,# Incidents,Disruption,7.0,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Behavior,# Incidents,Conflict,1.0,Awesome AP 1,AP_12EEC59A
homeroom,6MSU,6.0,6MSU,"Zimmer, Franklin",TCH_50354BE2,HR,29.0,Behavior,# Incidents,Phone,10.0,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Behavior,# Incidents,Defiance,12.0,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Behavior,# Incidents,Disruption,20.0,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Behavior,# Incidents,Conflict,14.0,Awesome AP 1,AP_12EEC59A
homeroom,6Spelhouse,6.0,6Spelhouse,"Prentiss, Howard",TCH_64CDE3C3,HR,30.0,Behavior,# Incidents,Phone,4.0,Awesome AP 1,AP_12EEC59A
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Behavior,# Incidents,Defiance,18.0,Awesome AP 2,AP_987F9BF3
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Behavior,# Incidents,Disruption,12.0,Awesome AP 2,AP_987F9BF3
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Behavior,# Incidents,Conflict,11.0,Awesome AP 2,AP_987F9BF3
homeroom,7Brown,7.0,7Brown,"Garrett, Simone",TCH_5C2EE62C,HR,30.0,Behavior,# Incidents,Phone,7.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Behavior,# Incidents,Defiance,5.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Behavior,# Incidents,Disruption,13.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Behavior,# Incidents,Conflict,19.0,Awesome AP 2,AP_987F9BF3
homeroom,7Columbia,7.0,7Columbia,"Ellison, Tamara",TCH_DAD81779,HR,30.0,Behavior,# Incidents,Phone,2.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Behavior,# Incidents,Defiance,0.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Behavior,# Incidents,Disruption,3.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Behavior,# Incidents,Conflict,17.0,Awesome AP 2,AP_987F9BF3
homeroom,7Princeton,7.0,7Princeton,"Crane, Dominique",TCH_3CD6786A,HR,27.0,Behavior,# Incidents,Phone,8.0,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Behavior,# Incidents,Defiance,8.0,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Behavior,# Incidents,Disruption,16.0,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Behavior,# Incidents,Conflict,5.0,Awesome AP 2,AP_987F9BF3
homeroom,7Upenn,7.0,7Upenn,"Vance, Reginald",TCH_BD08E45A,HR,29.0,Behavior,# Incidents,Phone,16.0,Awesome AP 2,AP_987F9BF3
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Behavior,# Incidents,Defiance,11.0,Awesome AP 3,AP_98D7BF59
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Behavior,# Incidents,Disruption,5.0,Awesome AP 3,AP_98D7BF59
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Behavior,# Incidents,Conflict,17.0,Awesome AP 3,AP_98D7BF59
homeroom,8Maryland,8.0,8Maryland,"Rhodes, Leonard",TCH_CE1AC804,HR,29.0,Behavior,# Incidents,Phone,16.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Behavior,# Incidents,Defiance,9.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Behavior,# Incidents,Disruption,7.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Behavior,# Incidents,Conflict,1.0,Awesome AP 3,AP_98D7BF59
homeroom,8Michigan,8.0,8Michigan,"Lawson, Gerald",TCH_C7F77440,HR,30.0,Behavior,# Incidents,Phone,7.0,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Behavior,# Incidents,Defiance,17.0,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Behavior,# Incidents,Disruption,4.0,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Behavior,# Incidents,Conflict,4.0,Awesome AP 3,AP_98D7BF59
homeroom,8OhioState,8.0,8OhioState,"Keane, Lorraine",TCH_E83A2D65,HR,30.0,Behavior,# Incidents,Phone,15.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Behavior,# Incidents,Defiance,6.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Behavior,# Incidents,Disruption,9.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Behavior,# Incidents,Conflict,12.0,Awesome AP 3,AP_98D7BF59
homeroom,8PennSt,8.0,8PennSt,"Whitfield, Sandra",TCH_B0017323,HR,31.0,Behavior,# Incidents,Phone,20.0,Awesome AP 3,AP_98D7BF59
grade,5,5.0,,,,,122.0,Behavior,# Incidents,Defiance,60.0,Awesome AP 1,AP_12EEC59A
grade,5,5.0,,,,,122.0,Behavior,# Incidents,Disruption,29.0,Awesome AP 1,AP_12EEC59A
grade,5,5.0,,,,,122.0,Behavior,# Incidents,Conflict,60.0,Awesome AP 1,AP_12EEC59A
grade,5,5.0,,,,,122.0,Behavior,# Incidents,Phone,34.0,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Behavior,# Incidents,Defiance,41.0,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Behavior,# Incidents,Disruption,39.0,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Behavior,# Incidents,Conflict,31.0,Awesome AP 1,AP_12EEC59A
grade,6,6.0,,,,,116.0,Behavior,# Incidents,Phone,39.0,Awesome AP 1,AP_12EEC59A
grade,7,7.0,,,,,116.0,Behavior,# Incidents,Defiance,31.0,Awesome AP 2,AP_987F9BF3
grade,7,7.0,,,,,116.0,Behavior,# Incidents,Disruption,44.0,Awesome AP 2,AP_987F9BF3
grade,7,7.0,,,,,116.0,Behavior,# Incidents,Conflict,52.0,Awesome AP 2,AP_987F9BF3
grade,7,7.0,,,,,116.0,Behavior,# Incidents,Phone,33.0,Awesome AP 2,AP_987F9BF3
grade,8,8.0,,,,,120.0,Behavior,# Incidents,Defiance,43.0,Awesome AP 3,AP_98D7BF59
grade,8,8.0,,,,,120.0,Behavior,# Incidents,Disruption,25.0,Awesome AP 3,AP_98D7BF59
grade,8,8.0,,,,,120.0,Behavior,# Incidents,Conflict,34.0,Awesome AP 3,AP_98D7BF59
grade,8,8.0,,,,,120.0,Behavior,# Incidents,Phone,58.0,Awesome AP 3,AP_98D7BF59
homeroom,5NJCU,5.0,5NJCU,"Xavier, Darnell",TCH_63F3D589,HR,29.0,DIBELS,% Met PM Benchmark,,73.6,Awesome AP 1,AP_12EEC59A
homeroom,5Rutgers,5.0,5Rutgers,"Thorne, Cedric",TCH_68DC1895,HR,27.0,DIBELS,% Met PM Benchmark,,19.9,Awesome AP 1,AP_12EEC59A
homeroom,5SOAR,5.0,5SOAR,"Ingram, Valerie",TCH_14472D02,HR,10.0,DIBELS,% Met PM Benchmark,,34.0,Awesome AP 1,AP_12EEC59A
